No,produk,review,rating,sumber
88,Vaseline Healthy Bright Cocoa Radiance,"untuk tekstur dia seperti vaseline lain, yang paling aku suka itu varian ini wanginya wangi coklat, jarang ada handbody wangi coklat, daya resap dan lembabnya juga oke bgt menurut aku lumayan dari varian vaseline lainnya, harganya juga sangat ramah dikantong",5,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
89,Vaseline Healthy Bright Cocoa Radiance,"Produk vaseline paling nampoll pokoknya. Wanginya enak, manis vanila sama cokelat gitu tapi ngga over. Teksturnya rich dan ngelembabin polll. Pake ini lama2 kulitku jadi lebih plump, glowing, dan aluss. Kalo malem mau tidur pake ini jadi cepet tidur soale baunya enak banget, trus paginya kulit jadi lembab, lembut, plump, glowing sehat gitu. BEST DEH!!",5,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
90,Vaseline Healthy Bright Cocoa Radiance,"lumayan bisa soothe & moisturize my very dry skin daripada varian aloe vera. cuman ya aku gak bakal repurchase karena setelah 2-3 jam kulitku tetep pecah². buat yang punya stubborn dry skin kek aku, mending cari produk yang lain aja.. not really recommended",3,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?tab=reviews&cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
91,Vaseline Healthy Bright Cocoa Radiance,"wanginya enaq bgt, coklat butter gt..tp di kulit aku rasanya jd anget daaaann yg memalukan lg, entah kenapa jd muncul eksim, putih2 kering gt kek semacam totol2..kan eykeu jd malu, suka dibilang macan tutul.oh em jiii,dikira jorok..akhirnya gkmau pake lg,..",1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
92,Vaseline Healthy Bright Cocoa Radiance,"Uh, vaseline emg udah ga meragukan sih, tp kalo untuk varian ini, ugh.. wanginya ga suka banget. Melembabkannya emg ok, tp kl baunya kaya gini mana tahan kl ku pake rutin. Nyium temen pake ini aja aku bisa pusing",1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
93,Vaseline Healthy Bright Cocoa Radiance,"Beli varian cokelat ini pas baru baru muncul. Aku suka cokelat, tapi ternyata harus hati hati milih wangi cokelat, gak cocok bikin pusing. Seperti inilah yang terjadi saat nyium wangi body lotion cocoa ini. wanginya bikin eneg dan pusing ?? Bukannya bikin manis tapi malah bikin eneg.",1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
94,Vaseline Healthy Bright Cocoa Radiance,"Lotion ini teksturnya thick dan agak susah meresap. Kalau kena air bakalan terasa lengket banget. Baunya seperti bau coklat gitu tapi aku kurang suka karena semakin lama dicium semakin eneg. Daya lembapnya sih oke, tapi saya nggak pengen repurchase.",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
95,Vaseline Healthy Bright Cocoa Radiance,"inii sebenarnyaa pakee udah lmaa, cumaa baru aku review hehehe... Awalnyaa akuu mo nyoba cari variasi lain dr vaseline setelah pake yg versi aloe vera... liat dr klaimnyaa cocoa inii diperuntukan untuk kulit dry. Tertarik lahh ku untuk membeli.. Untuk pemakaiannyaa baunyaa coklat maniss gituu, dan plusnyaa baunyaa emang tahan lama dr siang -sore, cumaa karena concern akuu cari lotion yang melembabkan, Untuk variant inii kurang melembabkan sama sekali, better pakee yg variant aloe veraa ajaa deh",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
96,Vaseline Healthy Bright Cocoa Radiance,"Awalnya aku beli ini emang karena aku maniak coklat. Jadi pas denger ada Vaseline wangi coklat aku langsung tertarik beli. Pas aku coba wah enak banget wanginya bikin laper. Tapi aku pikir ini too oily hmm. Selain itu, kayaknya ini wanginya belum tentu cocok di semua kulit orang. Soalnya beberapa temenku pernah ada yang nyoba minta lotionku yg satu ini dan hasilnya wanginya malah berubah jadi kayak kelapa basi gitu ew. Jadi aku saranin kalo mau beli coba dulu wanginya cocok atau ngga di kulit kalian",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=2
97,Vaseline Healthy Bright Cocoa Radiance,Vaseline yang coco ini bener bener punya wangi yang enak banget. Bikin mood jadi naik. Dulu pake pas masih SD. Melembabkannya menurutku oke. Cuma sekarang sih engga pake lagi karena aku ngerasa produk Vaseline yang vitamin body serum itu lebih cocok buatku.,4,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/total-moisture-cocoa-glow-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=3
